concept,description,,
Simpson's Paradox,"A phenomenon in probability and statistics, in which a trend appears in different groups of data but disappears or reverses when these groups are combined",,
Self-Serving Bias, Any cognitive bias that leads individuals to attribute their successes to their own abilities or efforts, but attribute their failures to external factors,
Schelling's Point,"A solution that people will tend to use in the absence of communication, because it seems natural, special, or relevant to them",,
Scarcity Principle,"The economic theory in which a limited supply of a good, coupled with a high demand for that good, results in a mismatch between the desired supply and demand equilibrium",,
Regression Toward the Mean,"A concept that if a variable is extreme on its first measurement, it will tend to be closer to the average on its second measurement",,
Red Queen Effect,"A hypothesis that organisms must constantly adapt, evolve, and proliferate not merely to gain reproductive advantage, but also simply to survive while pitted against ever-evolving opposing organisms in an ever-changing environment",,
Reciprocity Principle,"A social norm of responding to a positive action with another positive action, rewarding kind actions",,
Pygmalion Effect (Rosenthal Effect),The phenomenon whereby higher expectations lead to an increase in performance,,
Proximity Principle, The principle that people form social connections with those who are nearby, either in terms of physical distance or in terms of exposure in their environment,
Prospect Theory,A behavioral economic theory suggesting that individuals make decisions based on the potential value of losses and gains rather than the final outcome,,
Prisoner's Dilemma,A theoretical situation where individuals don't cooperate even though it seems that it would be in their best interest to do so,,
Premature Optimization,The act of trying to make things efficient in a stage where it is not yet clear what would be the best way to do so,,
Post Hoc Ergo Propter Hoc,"A logical fallacy that states 'Since event Y followed event X, event Y must have been caused by event X'",,
Peltzman Effect,The hypothesis that people might increase risky behavior as a response to safety regulations,,
Pavlovian Conditioning,A method to cause a reflex response or behavior by training with repetitive action,,
Parkinson's Law,An adage that 'work expands so as to fill the time available for its completion',,
Ostrich Effect,"The tendency to ignore dangerous or negative information by 'burying' one's head in the sand, like an ostrich",,
Opportunity Cost,The cost of forgoing the next best alternative when making a decision,,
Occam's Razor,A problem-solving principle that the simplest solution tends to be the right one,,
Normal Distribution (Bell Curve),"A type of probability distribution that is symmetric about the mean, showing that data near the mean are more frequent in occurrence than data far from the mean",,
Network Effects,"The phenomenon whereby as more people or users join a platform, the value of the platform to those users increases",,
Nash Equilibrium,A concept in game theory where the optimal outcome of a game is one where no player has an incentive to deviate from their chosen strategy after considering an opponent's choice,,
Murphy's Law,"An adage that 'anything that can go wrong, will go wrong'",,
Munger's Lollapalooza Effect,"When multiple cognitive biases, tendencies or mental models act in the same direction, they compound to produce irrational, often exceedingly foolish behavior",,
Moral Hazard,A situation in which one party gets involved in a risky event knowing that it is protected against the risk and the other party will incur the cost,,
Moore's Law,"The number of transistors on a microchip will double approximately every two years, leading to an exponential increase in computing power",,
Mere Exposure Effect, The psychological phenomenon that people tend to develop a preference for things merely because they are familiar with them,,
Maslow's Hierarchy of Needs, A model in psychology that suggests people are motivated to fulfill basic needs before moving on to more advanced needs,,
Loss Aversion,The idea that the pain of losing is psychologically twice as powerful as the pleasure of gaining,,
Law of Triviality, The more trivial an issue, the more time people will spend discussing it, while more complex issues get less attention
Law of Large Numbers,A theorem that describes the result of performing the same experiment a large number of times,,
Law of Diminishing Returns,"An economic theory that predicts that after some optimal level of capacity is reached, additional input will not produce proportionate increases in output",,
Law of Attraction,A philosophy suggesting that positive or negative thoughts bring positive or negative experiences into a person's life,,
Knapsack Problem,"A problem in combinatorial optimization: Given a set of items, each with a weight and a value, determine the number of each item to include in a collection so that the total weight is less than or equal to a given limit and the total value is as large as possible",,
Keystone Habit,A habit that people form that tend to lead to the development of other good habits,,
Just-World Hypothesis, The cognitive bias (or assumption) that a person's actions always bring morally fair and fitting consequences to that person,,
Jevons Paradox,"The observation that as technological improvements increase the efficiency with which a resource is used
The Pareto Frontier,""A state of allocation of resources from which it is impossible to move without making someone worse off",,
Inversion,A thinking approach where one considers what one wants to avoid instead of what they want to achieve,,
Impostor Syndrome," A psychological pattern where an individual doubts their accomplishments and has a persistent internal fear of being exposed as a ""fraud""",,
Imitation Learning,"Learning by watching others, replicating their actions, and learning from the outcomes",,
Hyperbolic Discounting,"A tendency for people to prefer smaller, immediate payoffs over larger, later payoffs",,
Hofstadter's Law,"The observation that 'it always takes longer than you expect, even when you take into account Hofstadter's Law'",,
Hindsight Bias,"A perceived idea after an event has occurred that the event was predictable, despite there being little or no objective basis for predicting it",,
Hick's Law, The time it takes to make a decision increases with the number and complexity of choices,,
Heisenberg's Uncertainty Principle,"A fundamental theory in quantum mechanics that places an absolute, theoretical limit on the combined accuracy of certain pairs of simultaneous, related measurements",,
Hedonic Treadmill (Hedonic Adaptation),The observed tendency of humans to quickly return to a relatively stable level of happiness despite major positive or negative events or life changes,,
Hanlon's Razor,A philosophy suggesting that actions resulting in negative outcomes are more often caused by ignorance or negligence than malice,,
Gresham's Law,A monetary principle stating that 'bad money drives out good',,
Goodhart's Law,"A concept in economics that states: 'When a measure becomes a target, it ceases to be a good measure'",,
Fundamental Attribution Error,The tendency people have to overemphasize personal characteristics and ignore situational factors in judging others' behavior,,
Framing Effect,A cognitive bias where people decide on options based on whether the options are presented with positive or negative semantics,,
Forer Effect (Barnum Effect),"A common psychological phenomenon whereby individuals will give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are, in fact, vague and general enough to apply to a wide range of people",,
Flynn Effect,The observation that each generation has a significantly higher IQ than the last,,
First Principles Thinking,A mode of inquiry that relentlessly pursues the foundations of a problem or reality,,
Feynman Technique,"A mental model used to quickly learn new topics by explaining them in plain, simple language",,
False Consensus Effect,A cognitive bias where individuals overestimate the level of agreement they have with others,,
Endowment Effect,A cognitive bias where individuals ascribe more value to things merely because they own them,,
Eisenhower Matrix,A time management tool that helps prioritize tasks by urgency and importance,,
Economies of Scale,A situation in which the cost of producing one unit of a good or service decreases as the volume of production increases,,
Dunning-Kruger Effect,A cognitive bias in which low-ability individuals overestimate their ability,,
Dunbar's Number,A suggested cognitive limit to the number of people with whom one can maintain stable social relationships,,
Double Diamond Model,"A visual explanation of a design process, divided into four distinct phases, Discover, Define, Develop and Deliver",,
Doppler Effect,A change in frequency or wavelength of a wave in relation to an observer who is moving relative to the wave source,,
Diffusion of Innovations,"A theory that seeks to explain how, why, and at what rate new ideas and technology spread",,
Diderot Effect, The phenomenon where buying one new thing leads to a spiral of consumption where you end up buying more new things,,
Decoy Effect (or Asymmetric Dominance Effect), The phenomenon where consumers change their preference between two options when presented with a third option that is asymmetrically dominated,,
Curse of Knowledge, A cognitive bias that occurs when an individual, communicating with other individuals, unknowingly assumes that the others have the background to understand
Critical Mass,The smallest amount of fissile material needed for a sustained nuclear chain reaction,,
Conway's Law,An adage stating that organizations design systems which mirror their own communication structure,,
Confirmation Bias,"The tendency to search for, interpret, favor, and recall information that confirms or supports one's prior beliefs or values",,
Compounding,"A process where the value of an investment increases because the earnings on an investment, both capital gains and interest, earn interest as time passes",,
Cognitive Dissonance,The mental discomfort experienced by a person who holds two or more contradictory beliefs or values,,
Cobra Effect,A term used to illustrate the causes of incorrect stimulation in economy and politics,,
Coase Theorem,"A legal and economic theory that affirms that where there are complete competitive markets with no transactions costs, an efficient set of inputs and outputs to and from production-optimal distribution are selected, regardless of how property rights are divided",,
Circular Reasoning,A logical fallacy in which the reasoner begins with what they are trying to end with,,
Chaos Theory,An area of mathematics looking at systems that are highly sensitive to initial conditions,,
Capm (Capital Asset Pricing Model),"A model that describes the relationship between systematic risk and expected return for assets, particularly stocks",,
Bystander Effect,A social psychological phenomenon in which individuals are less likely to offer help to a victim when other people are present,,
Butterfly Effect in Chaos Theory,The idea in chaos theory that a very small difference in the initial state of a physical system can make a significant difference to the state at some later time,,
Brooks's Law,An observation about software project management according to which 'adding human resources to a late software project makes it later',,
Bounded Rationality,"The idea that when individuals make decisions, their rationality is limited by the information they have, the cognitive limitations of their minds, and the finite amount of time they have to make decisions",,
Black Swan Theory,"The concept that considers the extreme impact of rare and unpredictable outlier events — and the human tendency to find simplistic explanations for these events, retrospectively",,
Bayes' Theorem,A mathematical formula used for calculating conditional probabilities,,
Balcony View (Helicopter View),"Taking a big picture view of a situation or problem, often to understand different perspectives",,
Baader-Meinhof Phenomenon, A phenomenon happens when you notice something new; suddenly, you start noticing it everywhere,
Availability Heuristic,"A mental shortcut that relies on immediate examples that come to mind when evaluating a specific topic, concept, method, or decision",,
Anchoring Bias,A cognitive bias where an individual relies too heavily on an initial piece of information offered to make subsequent judgments during decision making,,
